trade_date,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-09-07,1,0.8219516142377896,2,1,12.68,1551971376.0,12.62,12.98,12.57,1031377.0,-0.0015748031496062298,-0.01092043681747279,0.08468776732249794,0.024297902476971184,2051793142.4,2020
2020-09-07,600000,0.7444228688597218,3,1,8.07,589509232.0,8.13,8.22,8.07,585646.0,-0.0073800738007380184,-0.041567695961995166,-0.05944055944055937,0.0111246146614856,512028654.4,2020
2020-09-08,2230,0.878474770271073,1,1,35.75,666415920.0,35.45,35.86,35.26,184247.0,0.008462623413258097,-0.053230932203389814,-0.011611833010782502,0.020651515368173362,1397310928.8,2020
2020-09-09,2230,0.9959710732590006,1,1,34.27,1241469152.0,35.42,35.46,34.04,353137.0,-0.0413986013986013,-0.08783603939313278,-0.04193458205199885,0.022507847878143965,1397186004.8,2020
2020-09-09,1,0.9142659312788673,2,1,12.95,1554005568.0,13.0,13.3,12.87,1013572.0,-0.016704631738800324,-0.008422664624808673,0.0684818481848184,0.0255722349640657,1935416064.0,2020
2020-09-09,600000,0.6209465993670651,3,1,8.07,496009216.0,8.07,8.14,8.06,494185.0,-0.004932182490752002,-0.020631067961165095,-0.06380510440835252,0.010823191784546313,506868404.8,2020
2020-09-10,2230,0.9729206463614901,1,1,33.96,659136752.0,34.55,34.77,33.75,188677.0,-0.009045812664137842,-0.07289107289107288,-0.05666666666666664,0.022472372103781373,1391566651.2,2020
2020-09-10,600000,0.6280330486235056,2,1,8.02,540727376.0,8.12,8.12,8.0,541699.0,-0.00619578686493194,-0.019559902200488977,-0.0641773628938157,0.010828481609973793,520323503.2,2020
2020-09-11,1,0.9221490318102116,1,1,12.75,1431844016.0,12.92,13.04,12.56,954236.0,-0.025229357798165153,0.003937007874015741,0.04422604422604426,0.025586055867967233,1942044236.8,2020
2020-09-11,2230,0.8830736464530955,2,1,34.1,462679216.0,33.61,34.2,33.61,133649.0,0.0041224970553592755,-0.06267179769103903,-0.0990752972258917,0.01864742018714929,1248677020.8,2020
2020-09-14,2230,0.7475315793784618,1,1,34.43,509859888.0,34.49,34.69,34.11,145555.0,0.009677419354838568,-0.028772919605077663,-0.10338541666666667,0.018409409244422456,1161177702.4,2020
2020-09-15,2230,0.8408534291757667,1,1,34.5,456062112.0,34.44,34.59,34.11,130300.0,0.002033110659308779,-0.034965034965035,-0.09162717219589245,0.01842808563964689,1120893368.0,2020
2020-09-15,1,0.7332830521625647,2,1,13.09,1007999040.0,12.94,13.22,12.89,657133.0,0.0038343558282210033,-0.0060744115413818855,0.015515903801396336,0.02246107871429744,1695962246.4,2020
2020-09-16,2230,0.659883092901691,1,1,34.55,424012608.0,34.71,34.73,34.3,120812.0,0.0014492753623187582,0.008170411438575886,-0.0724832214765101,0.01814427074293764,1082311153.6,2020
2020-09-16,1,0.6032106326594842,2,1,13.18,1114667840.0,13.06,13.28,12.95,722415.0,0.006875477463712754,0.01776061776061777,0.026479750778816147,0.022466651060871683,1643984883.2,2020
2020-09-17,2230,0.6813425219114677,1,1,34.45,516542832.0,34.5,34.71,34.01,147510.0,-0.0028943560057885787,0.014428739693757464,-0.06309491433233616,0.01801216216014755,1056606546.4,2020
2020-09-21,1,0.652888403811054,1,0,13.6,1418370976.0,13.74,13.79,13.45,896162.0,-0.01520637219406229,0.042944785276073594,0.11475409836065587,0.021797621109391162,1647016333.6,2020
2020-09-22,2230,0.8947692247086625,1,1,34.38,703899776.0,35.1,35.36,34.25,199123.0,-0.023850085178875546,-0.003478260869565153,-0.0839328537170263,0.016154094101955334,879052384.8,2020
2020-09-22,1,0.7780854833505026,2,1,13.31,1354536272.0,13.41,13.58,13.13,867756.0,-0.02132352941176463,0.01680672268907557,0.07860615883306332,0.022558385954421212,1660205304.8,2020
2020-09-22,600000,0.6509923742537609,3,1,7.76,643194144.0,7.87,7.9,7.75,659521.0,-0.017721518987341867,-0.02020202020202022,-0.08813160987074031,0.007930308994620345,530742956.0,2020
2020-09-23,2230,0.7235951018980361,1,1,34.4,354507904.0,34.47,34.63,34.21,101262.0,0.0005817335660267542,-0.004341534008682979,-0.058308239802901785,0.015291498018716572,825264584.8,2020
2020-09-23,600000,0.6193572479057122,2,1,7.69,404393344.0,7.77,7.78,7.68,419096.0,-0.009020618556700999,-0.029040404040403978,-0.08778173190984573,0.007918576361220727,530553908.8,2020
2020-09-24,1,0.9718753105425764,1,1,12.86,1623376208.0,13.33,13.35,12.86,1061011.0,-0.03814510097232604,-0.03380916604057105,0.0540983606557377,0.023948521220371447,1690717636.8,2020
2020-09-24,2230,0.890013080081448,2,1,33.85,429775664.0,34.19,34.26,33.74,124418.0,-0.015988372093023173,-0.01741654571843254,-0.07639836289222368,0.015488120226716702,791956240.0,2020
2020-09-24,600000,0.7805519750199277,3,1,7.56,512493264.0,7.67,7.68,7.52,538587.0,-0.016905071521456483,-0.041825095057034245,-0.10107015457788349,0.008362252811868011,540417907.2,2020
2020-09-25,1,0.8843582820288098,1,1,12.93,933035040.0,12.94,13.05,12.85,614087.0,0.005443234836703059,-0.06372194062273717,0.004662004662004726,0.02061696911600543,1557417604.0,2020
2020-09-25,2230,0.8492079316996678,2,1,33.92,345458336.0,34.03,34.14,33.68,100201.0,0.00206794682422462,-0.030303030303030165,-0.08125677139761645,0.015330650155135357,761395228.8,2020
2020-09-25,600000,0.7214213531640832,3,1,7.53,279750448.0,7.56,7.59,7.52,294875.0,-0.003968253968253843,-0.05874999999999997,-0.1161971830985915,0.007177178248330775,526783974.4,2020
